FIPS,State,County,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,ForeignBornPct,OwnHomePct,TotalPop2010,UnempRate2010
1001,AL,Autauga,59338,29372,19.3,13.8,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,2.018115942,74.89462467,54571,8.9
1003,AL,Baldwin,57588,31203,13.9,9.8,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,3.445343021,73.61934319,182265,10
1005,AL,Barbour,34382,18461,43.9,30.9,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,2.505624079,61.39777923,27457,12.3
1007,AL,Bibb,46064,20199,27.8,21.8,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,1.442713189,75.07309942,22915,11.4
1009,AL,Blount,50412,22656,18,13.2,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,4.359441409,78.62621359,57322,9.8
1011,AL,Bullock,29267,20346,68.3,42.5,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,0.927357032,75.53338875,10914,11.8
1013,AL,Butler,37365,20430,36.3,24.5,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,1.373283396,69.94633274,20947,13.6
1015,AL,Calhoun,45400,24706,26.5,19.5,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,2.657735147,69.47349721,118572,11.4
1017,AL,Chambers,39917,22827,30.7,18.7,57.36,22.51,16.68,58.14,38.6,0.49,0.17,1.57,1.13,1.389463726,67.7641314,34215,14.9
1019,AL,Cherokee,42132,23356,24.7,16.3,46.94,21.42,17.9,92.07,4.64,0.19,0.47,1.23,1.49,0.792944726,78.95530832,25989,10.6
1021,AL,Chilton,47547,24611,23.3,17.3,62.99,25.11,13.57,81.1,9.56,0.29,0.31,7.84,1.16,4.484407011,74.84926273,43643,10.3
1023,AL,Choctaw,39907,22182,32.1,22.1,15.17,22.66,18.18,55.56,43.22,0.09,0.13,0.53,0.42,0.497131931,79.68224299,13859,13.3
1025,AL,Clarke,40741,21111,31.7,22.8,20.86,24.73,16.16,53.97,43.67,0.29,0.37,1.05,0.68,0.38135072,67.47168198,25833,19.9
1027,AL,Clay,39201,23147,25.8,17.6,23.07,22.57,17.58,80.29,14.7,0.17,0.39,2.86,1.69,1.95096427,72.36440031,13932,14.5
1029,AL,Cleburne,46495,21989,22.9,16,26.73,23.72,15.77,93.21,3.3,0.15,0.33,2.05,1.07,1.506225733,75.65490744,14972,10
1031,AL,Coffee,55122,27577,21.9,13.8,73.56,24.19,14.44,72.34,16.53,1.26,1.21,6.37,2.5,3.58758384,64.79357219,49948,8.6
1033,AL,Colbert,49055,24918,21,13.8,91.84,22.11,17.39,79.62,15.99,0.41,0.48,2.01,1.55,1.660702817,72.70516996,54428,11.5
1035,AL,Conecuh,32613,17542,40.1,24.4,15.56,23,17.86,51.13,46.28,0.13,0.33,1.22,1,0.711203452,76.60690861,13228,17.2
